Customer_Name,Customer_Type,Gender,Age
Mary Ryan,Young Adult,F,21
Charles Parrish,Young Adult,M,19
Victor Baker,Homemaker,M,53
Mary Graham,Middle-Aged,F,50
Matthew Peterson,Senior Citizen,M,60
Leslie Walsh,Senior Citizen,F,72
Gabriel Lucero,Student,M,7
Connor Moore,Retiree,M,68
Amy Campbell,Middle-Aged,F,58
Lee Ramirez,Teenager,M,16
Jaime Parker,Young Adult,M,21
James Bailey,Professional,M,40
Sara Lee,Young Adult,F,21
Joanne Flores,Young Adult,F,21
Kevin Cruz,Retiree,M,69
Dawn Benson,Homemaker,F,23
Ronald Pacheco,Homemaker,M,18
Tracey Allen,Senior Citizen,F,69
Tamara Burke,Student,F,12
Cheryl Benson,Senior Citizen,F,60
Taylor Jimenez,Professional,M,36
Brenda Greene,Teenager,F,19
Mark Johnson,Student,M,8
Kenneth Williams,Retiree,M,65
Nicholas Ellison,Student,M,10
Felicia Johnson,Middle-Aged,F,56
Kelly Adams,Retiree,F,77
Richard Hopkins,Middle-Aged,M,40
Brenda Brown,Retiree,F,71
David Henry,Teenager,M,18
Catherine Rodriguez,Student,F,15
Sean Obrien,Teenager,M,17
Scott Byrd,Homemaker,M,28
Sheila Carroll,Teenager,F,16
Jason Rodriguez,Professional,M,34
Edward Anderson,Student,M,9
Benjamin Barber,Retiree,M,71
Lisa Evans,Homemaker,F,45
Tracey Jackson,Senior Citizen,F,74
Taylor Daniels,Retiree,M,69
Dwayne Herrera,Teenager,M,16
Stephanie Robinson,Student,F,5
Caleb Bailey,Student,M,10
Eric Moore DDS,Young Adult,M,20
Barbara Griffin,Professional,F,30
Jennifer Harrington DDS,Professional,F,30
Bryce Smith,Homemaker,M,36
Suzanne Silva,Homemaker,F,29
David Prince,Student,M,12
Dawn Alvarado,Middle-Aged,F,50
Susan Lee,Teenager,F,16
Pamela Adams,Senior Citizen,F,66
Jessica Shaffer,Professional,F,50
Mitchell Johnson,Student,M,13
Robert Ibarra,Homemaker,M,37
Mr. Matthew Wang,Professional,M,33
Michele Davis,Homemaker,F,23
Karen Jones,Teenager,F,19
Kristi Sanchez,Professional,F,48
James Aguilar,Retiree,M,74
Lawrence Allison,Senior Citizen,M,73
Benjamin Nguyen,Retiree,M,74
Gina Gomez,Young Adult,F,27
Gerald Massey,Senior Citizen,M,77
William Willis,Teenager,M,17
Tracy Wu,Senior Citizen,F,71
Michael Wallace,Senior Citizen,M,63
Carolyn Harris,Middle-Aged,F,53
Molly Hernandez,Student,F,14
Ashley Knight,Student,F,15
Jessica Crawford,Student,F,6
Yvette Bailey,Young Adult,F,30
Mary Miller,Teenager,F,19
Ashley Turner,Middle-Aged,F,46
Dustin Walker,Professional,M,32
Lynn Hopkins,Professional,F,46
Taylor Cole,Student,F,8
Jeffrey Wilson,Homemaker,M,49
Christopher Nichols,Student,M,16
Jacob Washington,Young Adult,M,26
Ann Gamble,Professional,F,39
Michael Ray,Teenager,M,16
Karen Meyer,Middle-Aged,F,46
Candice Shelton,Homemaker,F,38
Cindy Russell,Professional,F,43
Taylor Brady,Senior Citizen,M,66
Paula Turner,Senior Citizen,F,70
Jasmine Vasquez,Student,F,11
Christopher Johnson,Young Adult,M,18
Christopher Chandler,Retiree,M,63
Susan Ball,Senior Citizen,F,66
Bobby Warner,Teenager,M,17
Victoria Jenkins,Middle-Aged,F,52
Tyler Lara,Senior Citizen,M,62
Ronald Chandler,Homemaker,M,49
Xavier Palmer,Professional,M,41
Lance Sims,Middle-Aged,M,55
Richard Dean,Young Adult,M,26
Corey Scott,Middle-Aged,M,48
Timothy Calderon,Teenager,M,13
Richard Clark,Retiree,M,64
Adrienne Long,Middle-Aged,F,60
Tanya Murphy,Student,F,15
Traci Stevens,Retiree,F,70
Melissa Freeman,Homemaker,F,21
Colleen Mata,Professional,F,38
Justin Rodriguez,Student,M,15
Daniel Thomas,Student,M,15
Susan Martin,Teenager,F,13
Monica Howard,Senior Citizen,F,60
Lauren Perry,Senior Citizen,F,79
Cynthia Peters,Homemaker,F,27
Andrew Shelton,Teenager,M,16
Richard Page,Student,M,5
Gregory George,Professional,M,46
Joe Price,Homemaker,M,45
Marissa Cisneros,Student,F,14
Debbie Burns,Teenager,F,19
William Cole,Young Adult,M,26
David Gallagher,Student,M,10
Melissa Mullins,Middle-Aged,F,46
James Harris,Professional,M,44
Melinda Daniels,Teenager,F,19
Barbara Shepard,Professional,F,49
Tyler Lambert,Homemaker,M,24
Amanda Sanchez,Homemaker,F,47
Kelly Tucker,Young Adult,F,30
Tiffany Wilson,Teenager,F,15
Seth Johnson,Young Adult,M,21
Julie Perez,Senior Citizen,F,69
Dustin Taylor,Senior Citizen,M,62
Julia Ramirez,Retiree,F,76
Richard Benjamin,Senior Citizen,M,69
Richard Hamilton,Young Adult,M,23
Deborah Reid,Senior Citizen,F,65
Rachel Brown,Teenager,F,13
Brett Smith,Homemaker,M,47
Austin Hughes,Teenager,M,18
Mark Smith,Professional,M,54
Diana Giles,Teenager,F,13
Cassandra Lloyd,Student,F,14
Laura Phillips,Student,F,5
Derrick Chen,Student,M,6
Patricia Bernard,Young Adult,F,23
Rebecca Martinez,Middle-Aged,F,48
Victor Stein,Senior Citizen,M,71
Thomas Mason,Student,M,17
Carla Thomas,Homemaker,F,20
Bradley Smith,Homemaker,M,44
Joshua Chase,Young Adult,M,28
Cheryl Olsen,Senior Citizen,F,64
Benjamin Cabrera,Homemaker,M,18
Joseph Nichols,Student,M,5
Meghan Johnson,Senior Citizen,F,71
Holly Mora,Homemaker,F,59
Michael Smith,Professional,M,41
Paul York,Teenager,M,16
Justin Garza,Young Adult,M,19
James Jones,Senior Citizen,M,61
Randall Davis,Teenager,M,17
Julie Hopkins,Professional,F,50
Zachary Compton,Student,M,15
Michelle White,Middle-Aged,M,51
Jennifer Owens,Professional,M,51
James Howe MD,Homemaker,M,21
Kimberly Gomez,Senior Citizen,M,67
Kathy Ross,Teenager,F,15
Ariel Howell,Middle-Aged,F,43
Lisa Smith,Young Adult,F,25
Randy Nelson,Retiree,M,72
Joseph Miller,Middle-Aged,M,56
Paul Hart,Teenager,M,19
Megan Hardin,Young Adult,F,25
Jennifer Lee,Teenager,F,18
Matthew Hall,Senior Citizen,M,63
Thomas Green,Homemaker,M,50
George Ruiz,Student,M,5
Cameron Garner,Retiree,M,69
Paul Clarke,Professional,M,35
William Randolph,Teenager,M,14
Kevin Morris,Homemaker,M,34
Andrew Smith,Middle-Aged,M,45
Whitney Mercado,Middle-Aged,F,55
Dennis Cruz,Middle-Aged,F,42
Kristina Mcguire,Middle-Aged,F,47
Maria Ochoa,Senior Citizen,F,66
Jeffrey Thomas,Senior Citizen,M,73
Melissa Wallace,Young Adult,M,19
Dawn Barnes,Professional,F,50
Mr. Jimmy Martin MD,Senior Citizen,M,70
Brian Turner,Student,M,16
Hannah Moss,Student,F,10
Joseph Barrett,Student,F,10
Robert Williams,Young Adult,M,20
Robin King,Professional,M,54
Michael Morris,Senior Citizen,M,65
Mrs. Jessica Pennington,Young Adult,F,21
Brian Williams,Young Adult,F,28
Tanya Jones,Student,F,8
Greg Chandler,Homemaker,M,23
Yvonne Garcia,Senior Citizen,M,68
Tyler Clark,Student,M,13
Carla Arias,Student,M,18
Matthew Taylor,Retiree,M,67
Angela Higgins,Retiree,F,62
Erin Giles,Retiree,F,76
Michael Huffman,Student,M,6
Paul Walls,Student,M,17
James Henderson,Middle-Aged,M,41
Melanie Page,Senior Citizen,F,69
Kenneth Cowan,Retiree,F,61
Crystal Lewis,Professional,F,37
Peter Berg,Homemaker,F,45
Deborah Richardson,Professional,F,44
Diane Ford,Homemaker,F,53
Stephanie Brown,Middle-Aged,F,53
Wesley Santos,Student,M,11
Erik Butler,Professional,M,52
Andrea Weeks,Young Adult,F,29
Christopher Small,Professional,F,33
Hannah Baird,Retiree,F,68
Rebecca Velazquez,Senior Citizen,F,69
Crystal Jones,Young Adult,F,18
Bradley Lawrence,Senior Citizen,M,76
Heather Hogan,Student,M,12
Joseph Marquez,Professional,M,54
Tyler Nelson,Middle-Aged,M,51
Todd Vaughn,Young Adult,M,28
Jose Hale,Retiree,M,68
Collin Nash,Senior Citizen,M,64
Jeff Fowler,Student,M,7
Benjamin Lee,Homemaker,M,26
Michael Padilla,Retiree,M,70
Stephanie Jackson,Retiree,F,78
Thomas Mcintyre,Retiree,M,77
Robert Davis,Student,M,10
Marc Decker,Senior Citizen,M,71
Shawn Morris,Retiree,M,75
Denise Vaughan,Young Adult,M,21
Sarah Harris,Retiree,F,62
Brian Cole,Retiree,F,70
Scott Jenkins,Retiree,M,76
John Goodwin,Middle-Aged,M,54
Ashley Ortiz,Young Adult,M,22
Cynthia Harper,Senior Citizen,M,69
John Taylor DDS,Middle-Aged,M,57
Jennifer West,Teenager,M,16
Toni Sanchez,Retiree,M,65
Ronald Mills,Senior Citizen,M,69
Kevin Underwood,Senior Citizen,M,80
Jason Acosta,Professional,M,46
Tracy Downs,Middle-Aged,M,50
Tracy Kerr,Middle-Aged,F,46
Michelle Moreno,Homemaker,F,34
Douglas Schultz Jr.,Teenager,F,18
Travis Brooks,Retiree,M,60
Ashley Schultz,Young Adult,M,28
James Hubbard,Teenager,M,18
Barbara Mendez MD,Teenager,F,14
Jonathan Spears,Student,F,11
Tiffany Clark,Student,F,11
Michelle Acosta,Student,F,17
Erica Morales,Student,F,13
Heather Peterson,Senior Citizen,F,61
Terri May,Young Adult,F,18
Lisa Cooper,Retiree,F,80
Amanda Nelson,Senior Citizen,F,69
Matthew Ruiz,Professional,M,33
Kimberly Gallegos,Senior Citizen,M,77
Brittany Griffin,Homemaker,M,53
Bryan Sanford,Middle-Aged,M,55
Robert Robertson,Senior Citizen,M,76
Kristin Murray,Student,M,10
Kimberly Torres,Teenager,F,19
Dr. Shawn Gonzalez,Professional,F,40
Jonathan Waller,Young Adult,M,19
Valerie Wilson,Teenager,M,19
David Shelton,Homemaker,M,38
Jody Martin,Middle-Aged,M,40
Brooke Larson,Teenager,F,17
Kristin Saunders,Young Adult,F,26
Jacob Kennedy,Student,F,9
Tracy Pham,Retiree,F,80
Vickie Callahan,Student,F,13
Natalie Armstrong,Teenager,F,17
Angelica Davis,Young Adult,F,23
Christian Davidson,Senior Citizen,F,69
Seth Woodward,Senior Citizen,M,74
Jordan Kennedy,Senior Citizen,M,80
Jennifer Williams,Teenager,F,15
Brenda Martinez,Homemaker,F,23
Lori Kane,Retiree,F,79
Joseph Chavez,Middle-Aged,M,57
Tonya Villarreal,Homemaker,F,41
Anthony Hawkins,Retiree,M,74
Alyssa Ramos,Middle-Aged,F,60
Jason Lee,Retiree,M,65
Alicia Mercer,Professional,F,43
Aaron Reed,Student,M,13
Garrett Miles,Homemaker,M,31
Christopher Clark,Senior Citizen,M,65
Andrew Newman,Retiree,M,74
Dana Miller,Student,F,16
Adam Rubio,Senior Citizen,M,67
Samantha Poole,Homemaker,F,26
Margaret Velez,Teenager,F,17
Christian Tate,Senior Citizen,M,60
Matthew Wood,Young Adult,M,18
Andrea Cruz,Teenager,F,17
Dawn Dawson,Student,F,10
John Dickerson MD,Senior Citizen,M,66
Ryan Stewart,Young Adult,M,24
Benjamin Benson,Middle-Aged,M,44
Karen Bond,Middle-Aged,F,57
Karen Hernandez,Professional,F,43
Carolyn Owens,Professional,F,54
Gregory Baker,Student,M,11
Elizabeth Wagner,Senior Citizen,F,65
Eric Smith,Professional,M,48
Rodney Mcgee,Student,M,6
Nicole Gaines,Student,F,5
Sandra Marshall,Young Adult,F,28
Kimberly Anderson,Professional,F,37
Jennifer Garcia,Retiree,F,64
Rachel Garcia,Senior Citizen,F,62
Kathryn White,Teenager,F,16
Christina Perez,Professional,F,54
Mark Morales,Middle-Aged,M,58
Vickie Brooks,Student,F,16
David Montoya,Senior Citizen,M,67
Logan Adams,Student,M,13
Nicole Jones,Homemaker,F,48
Steven Robinson,Teenager,M,14
Maureen Pace,Student,F,11
Kristopher Cook,Retiree,M,71
Donald Harris,Student,M,11
Rachael Sanford,Teenager,F,13
Jordan Spencer,Middle-Aged,M,52
Joseph Payne,Middle-Aged,M,57
Jeffrey May,Retiree,M,67
Catherine Dalton,Middle-Aged,F,57
Christopher Smith,Homemaker,M,43
Cheryl Griffin,Student,F,5
Jerry Berg,Homemaker,M,52
Anthony Cervantes,Young Adult,M,29
Julia Ray,Teenager,F,14
Ashley Benton,Middle-Aged,F,45
Jessica Lopez,Student,F,5
Ruth Garcia,Professional,F,31
Jesse Floyd,Homemaker,M,31
Mary Perez,Student,F,12
Douglas Gonzalez,Homemaker,M,58
Sherri Graves,Retiree,F,65
David Marks,Young Adult,M,27
Kevin Boone,Retiree,M,65
Jerry Garrett,Young Adult,M,23
Kimberly Young,Young Adult,F,25
Jenna Robinson,Middle-Aged,F,58
Craig Hall,Retiree,M,76
Amanda Blevins,Senior Citizen,F,62
Sarah Aguirre,Homemaker,F,30
Richard Randolph,Young Adult,M,28
Luis Richmond,Homemaker,M,58
Kim Campbell,Retiree,F,75
Jack Mitchell,Middle-Aged,M,41
Jose Knight,Young Adult,M,25
Aaron Rasmussen,Retiree,M,63
Tracy Morris,Student,F,17
Richard Conley,Middle-Aged,M,41
Juan Graham,Senior Citizen,M,66
Timothy White,Senior Citizen,M,61
Martin Foster,Professional,M,52
Benjamin Weaver,Teenager,M,14
Christopher Cooper,Professional,M,54
Christopher Baker,Homemaker,M,29
Kevin Reid,Senior Citizen,M,77
Fred Velez,Young Adult,M,27
Matthew Moran,Young Adult,M,27
Adam Rodriguez,Homemaker,M,59
Christian Hale,Homemaker,M,26
Jessica Carr,Student,F,6
Angela Navarro,Student,F,13
Kiara Guerrero,Middle-Aged,F,51
Lori Ramirez,Retiree,F,79
Valerie Perry,Student,F,17
Kelsey Moore,Middle-Aged,F,42
Travis Parker,Middle-Aged,M,58
Christopher Horton,Teenager,M,16
Jason Brown,Senior Citizen,M,77
Courtney Sexton,Middle-Aged,F,46
Randy Valencia,Senior Citizen,M,64
Beverly Robinson,Retiree,F,63
Linda Thornton,Homemaker,F,23
Scott Beck,Young Adult,M,21
David Schmidt,Homemaker,M,56
James Mcdaniel,Middle-Aged,M,55
Travis Bates,Retiree,M,67
Patrick Lewis,Professional,M,38
Michael Schaefer,Teenager,M,14
Christopher Taylor,Young Adult,M,21
Guy Chan,Teenager,M,17
Ryan Bishop,Teenager,M,14
Andrew Baker,Middle-Aged,M,52
Jared Norton,Middle-Aged,M,58
Molly Wilson,Professional,F,52
Lindsay Rogers,Professional,F,46
Rita Williams,Middle-Aged,F,40
Bobby French,Young Adult,M,22
Elizabeth Ortega,Senior Citizen,F,75
Dr. Christina Kelly,Homemaker,F,44
Cynthia Fuentes,Young Adult,F,27
Christopher Fowler,Teenager,M,16
Toni Goodwin,Professional,F,52
Katelyn Watts,Teenager,F,19
Daniel Stevens,Homemaker,M,37
Steven Calhoun,Young Adult,M,25
Jeffrey Alexander,Homemaker,M,54
Paul Gonzalez,Senior Citizen,M,79
James Lloyd,Retiree,M,69
Melanie Smith,Teenager,F,16
Charlotte Johnson,Student,F,16
Heather Shannon,Student,F,16
Angela Anderson,Retiree,F,79
Frank Jackson,Retiree,M,70
Lindsay Wells,Young Adult,F,20
Andrew Key,Middle-Aged,M,43
Joseph Newton,Professional,M,36
Megan Bowers,Senior Citizen,F,79
Ricky Powers,Professional,M,34
Michael Murphy,Homemaker,M,46
Meghan Nelson,Professional,F,45
William Turner,Homemaker,M,54
Christopher Sutton,Middle-Aged,M,53
Steve Collins,Middle-Aged,M,45
George Butler,Professional,M,32
Brittney Quinn,Young Adult,F,22
Margaret Swanson,Young Adult,F,29
Mrs. Vanessa Williams MD,Retiree,F,77
Michelle Cole,Professional,F,52
Nicholas Hunter,Teenager,M,18
Rebecca Humphrey,Middle-Aged,F,54
Tammy Fleming,Teenager,F,16
Matthew Baker,Student,M,6
Diana Kelly,Teenager,F,15
Eric Jones,Senior Citizen,M,67
Martin Dixon,Middle-Aged,M,49
Thomas Livingston,Student,M,17
Harold Thomas,Retiree,M,66
Dr. Amy Wagner,Retiree,F,68
Wendy Carr,Young Adult,F,18
Lisa Washington,Student,F,16
Melissa Crawford,Senior Citizen,F,80
Victoria Brown,Senior Citizen,F,80
Mr. Charles Ward,Middle-Aged,M,46
Terry Villegas,Senior Citizen,M,75
Dr. Sherry Mcgrath MD,Young Adult,F,26
Mr. Nathan Jones MD,Young Adult,M,22
Marcus Beck,Retiree,M,78
Holly White,Student,F,11
Amy Thomas,Teenager,F,13
Michele Cook,Retiree,F,66
Megan Duran,Middle-Aged,F,46
Rachel Pearson,Student,F,11
David Stone,Retiree,M,76
Mark Martinez,Young Adult,M,26
Chase Richard,Homemaker,M,36
Barry Patterson,Senior Citizen,M,67
Felicia Cook,Young Adult,F,19
Jillian Walsh,Retiree,F,61
Adam Garrett,Senior Citizen,M,79
Richard Santiago,Retiree,M,77
Diana White,Young Adult,F,23
Cody Bates,Professional,M,44
Mary Maddox,Student,F,13
Christopher Davis,Teenager,M,17
Thomas Fitzgerald,Retiree,M,80
Paul Silva,Professional,M,47
Sabrina Kim DDS,Young Adult,F,23
Leslie Bowman,Homemaker,F,54
Amanda Wilson DDS,Professional,F,52
Kristin Rodriguez,Middle-Aged,F,58
Kristen Ramsey,Teenager,F,15
James Fox,Homemaker,M,24
Mary Hendricks,Middle-Aged,F,41
Jamie Williams,Young Adult,M,20
Thomas Hughes,Middle-Aged,M,44
Natasha Cooper,Teenager,F,16
Kathleen Allen,Teenager,F,15
Julie Johnson,Middle-Aged,F,40
Gabriel Clark,Retiree,M,78
Barry Warner,Young Adult,M,27
Karen Carter,Homemaker,F,47
Austin Moore,Homemaker,M,27
Nicholas Henderson,Teenager,M,17
Shelia Edwards,Retiree,F,64
Laura Edwards,Homemaker,F,39
Dylan Leonard,Young Adult,M,24
Jeremiah Fernandez,Student,M,12
Kyle Mitchell,Young Adult,M,26
Bill Mejia,Student,M,7
Edward Ramsey,Young Adult,M,18
Elizabeth Brown,Professional,F,51
Terri Reeves,Senior Citizen,F,65
Sandra Griffith,Middle-Aged,F,55
Andrea Allen,Retiree,F,70
Kevin Townsend,Middle-Aged,M,40
Amanda Cummings,Student,F,18
Dr. Kiara Valentine DDS,Teenager,F,17
Patricia Ward,Student,F,17
Toni Harris,Young Adult,F,30
Scott Nichols,Student,M,14
Rebekah Rivera,Retiree,F,72
Tricia Dillon,Young Adult,F,26
Nicholas Silva,Senior Citizen,M,62
Kelsey Schroeder,Student,F,18
Daniel Foster,Retiree,M,76
Rachel Carpenter,Professional,F,36
Lauren Carson,Young Adult,F,22
Aaron Henderson,Young Adult,M,22
Chloe Parks,Middle-Aged,F,50
Cynthia Lopez,Student,F,7
Miranda Jimenez,Professional,F,36
Paula Barton,Homemaker,F,27
Rebecca Glenn,Senior Citizen,F,77
Ian Martin,Retiree,M,74
Miguel Kelly,Teenager,M,17
Mark Casey,Homemaker,M,60
Austin Reyes,Professional,M,39
Heidi Perkins,Senior Citizen,F,75
Brittany Peters,Professional,F,41
Steven Andrade,Professional,M,35
Samuel Mcconnell,Middle-Aged,M,56
Sarah Jones,Homemaker,F,24
Alexandra Kennedy,Professional,F,33
David Espinoza,Middle-Aged,M,43
Patricia Wilkinson,Senior Citizen,F,78
Robert Foster,Retiree,M,72
Catherine Baker,Senior Citizen,F,72
Javier Snow PhD,Student,M,12
